point,step,Privacy cost
0,0,5.049154871983319e-09
0,200,1.333440926565288e-06
0,500,6.969536059386883e-12
0,700,6.480969205036047e-05
0,900,2.7842545981204836e-05
0,1200,4.723672802287027e-05
0,1400,6.913746493975026e-06
0,1600,2.075518394484277e-06
0,1900,2.4394196825205938e-05
0,2100,4.748114346142529e-09
0,2300,2.047982351216504e-05
0,2600,1.8382632926972065e-07
0,2800,0.0002446754810696561
0,3000,0.00023156569017945827
0,3300,6.969536059386883e-12
0,3500,5.775167981170171e-06
0,3700,4.6531493839374605e-05
0,4000,1.1034728686354356e-11
0,4200,1.3319045166770849e-05
0,4400,0.0007883050941641656
0,4600,2.561452843607981e-06
0,4900,5.722440024058528e-07
0,5100,7.521578316449506e-05
0,5300,7.147532787854516e-09
0,5600,3.9812317798038066e-07
0,5800,1.0692664189626555e-06
0,6000,9.098943820617933e-12
0,6300,0.00011758746474033188
0,6500,5.937784394793866e-05
0,6700,0.0007161245889162338
0,7000,2.5374650514109476e-07
0,7200,8.711698029628678e-12
0,7400,3.958214674693039e-06
0,7700,0.0012718639539741616
0,7900,0.00047886706513855515
0,8100,0.00038749136093541026
0,8400,0.0003745448373448923
0,8600,5.909136786108604e-06
0,8800,7.046005467969962e-07
0,9100,0.00021137454296260572
0,9300,0.00026391260808589223
1,0,4.5922701197298466e-09
1,200,5.572539318876579e-08
1,500,1.2580409432860762e-05
1,700,1.7049860088214075e-06
1,900,1.1111839873123586e-05
1,1200,6.969536059386883e-12
1,1400,3.313968671347922e-05
1,1600,6.969536059386883e-12
1,1900,6.969536059386883e-12
1,2100,6.969536059386883e-12
1,2300,6.969536059386883e-12
1,2600,6.969536059386883e-12
1,2800,6.969536059386883e-12
1,3000,6.969536059386883e-12
1,3300,6.969536059386883e-12
1,3500,6.969536059386883e-12
1,3700,0.0008324916562232332
1,4000,9.098943820617933e-12
1,4200,9.098943820617933e-12
1,4400,9.098943820617933e-12
1,4600,5.7347180772993056e-05
1,4900,9.098943820617933e-12
1,5100,9.098943820617933e-12
1,5300,9.098943820617933e-12
1,5600,9.098943820617933e-12
1,5800,9.098943820617933e-12
1,6000,9.098943820617933e-12
1,6300,9.098943820617933e-12
1,6500,9.098943820617933e-12
1,6700,9.098943820617933e-12
1,7000,9.098943820617933e-12
1,7200,7.16315895488151e-12
1,7400,7.16315895488151e-12
1,7700,7.16315895488151e-12
1,7900,7.16315895488151e-12
1,8100,7.16315895488151e-12
1,8400,7.16315895488151e-12
1,8600,9.29256671611256e-12
1,8800,1.2391750388474065e-05
1,9100,7.801892465408855e-11
1,9300,0.00017155256823242482
2,0,3.566216211225992e-09
2,200,6.373575978102508e-07
2,500,1.5385012351654126e-05
2,700,0.00020137431767075498
2,900,8.547457763796729e-08
2,1200,9.29256671611256e-12
2,1400,0.00016224080016957743
2,1600,2.0133629328178415e-06
2,1900,0.00014883023522349603
2,2100,0.00048790759169747844
2,2300,7.16315895488151e-12
2,2600,6.969536059386883e-12
2,2800,6.969536059386883e-12
2,3000,6.969536059386883e-12
2,3300,4.5656453679931985e-06
2,3500,6.969536059386883e-12
2,3700,6.969536059386883e-12
2,4000,9.098943820617933e-12
2,4200,9.098943820617933e-12
2,4400,9.098943820617933e-12
2,4600,0.0007225308642762052
2,4900,9.098943820617933e-12
2,5100,2.808697204192967e-05
2,5300,9.098943820617933e-12
2,5600,9.523162920910266e-06
2,5800,3.058797659605261e-11
2,6000,2.8369385147275494e-05
2,6300,1.3270898442385715e-06
2,6500,1.1809220268332865e-11
2,6700,9.098943820617933e-12
2,7000,2.2189894277602207e-07
2,7200,0.0006630671643685915
2,7400,0.0005543270492127661
2,7700,7.16315895488151e-12
2,7900,1.0030837911401136e-06
2,8100,0.0012718619829819033
2,8400,0.00010221285599776309
2,8600,7.16315895488151e-12
2,8800,3.42523234664327e-07
2,9100,7.69917552823074e-06
2,9300,7.16315895488151e-12
3,0,3.2057418941633387e-09
3,200,7.550404745870765e-12
3,500,6.969536059386883e-12
3,700,2.410300301836088e-05
3,900,6.969536059386883e-12
3,1200,6.969536059386883e-12
3,1400,6.969536059386883e-12
3,1600,6.135030261589236e-10
3,1900,2.316965996840281e-08
3,2100,6.969536059386883e-12
3,2300,6.969536059386883e-12
3,2600,1.470161326011521e-09
3,2800,6.969536059386883e-12
3,3000,5.593859357055919e-06
3,3300,6.969536059386883e-12
3,3500,6.969536059386883e-12
3,3700,6.969536059386883e-12
3,4000,0.001040612538981911
3,4200,9.098943820617933e-12
3,4400,0.0010406126628828005
3,4600,0.0010406175010189145
3,4900,9.098943820617933e-12
3,5100,9.098943820617933e-12
3,5300,9.098943820617933e-12
3,5600,0.0009738093197571018
3,5800,0.0010406146480077538
3,6000,9.098943820617933e-12
3,6300,3.742146294705151e-05
3,6500,9.098943820617933e-12
3,6700,9.098943820617933e-12
3,7000,9.098943820617933e-12
3,7200,7.16315895488151e-12
3,7400,7.16315895488151e-12
3,7700,7.16315895488151e-12
3,7900,7.16315895488151e-12
3,8100,7.16315895488151e-12
3,8400,7.16315895488151e-12
3,8600,0.000497679889493341
3,8800,7.16315895488151e-12
3,9100,7.16315895488151e-12
3,9300,7.16315895488151e-12
4,0,3.2603355570870463e-09
4,200,9.871905012115434e-06
4,500,2.889639771908037e-08
4,700,6.969536059386883e-12
4,900,6.969536059386883e-12
4,1200,4.528764138811425e-06
4,1400,1.2598761283122428e-06
4,1600,1.777205049791064e-10
4,1900,6.969536059386883e-12
4,2100,7.688702612362874e-07
4,2300,8.324452238639424e-12
4,2600,4.576354859509024e-07
4,2800,2.9084184838268357e-08
4,3000,7.16315895488151e-12
4,3300,2.0003371159482697e-05
4,3500,1.9670553621509157e-06
4,3700,3.0450324012498697e-05
4,4000,1.78001049455645e-08
4,4200,9.098943820617933e-12
4,4400,2.305720059325722e-10
4,4600,8.556849041774228e-06
4,4900,0.00029130696796020317
4,5100,0.0007481305038905539
4,5300,9.098943820617933e-12
4,5600,1.731662354131913e-05
4,5800,9.098943820617933e-12
4,6000,0.0009800204833529946
4,6300,1.5230408628053027e-05
4,6500,6.530353195977057e-07
4,6700,1.0403659560509482e-06
4,7000,9.098943820617933e-12
4,7200,7.16315895488151e-12
4,7400,1.87083968130608e-05
4,7700,3.5209449137596494e-05
4,7900,0.0002216446681440054
4,8100,1.7320335730097725e-06
4,8400,2.818812996352449e-07
4,8600,7.584756347878141e-06
4,8800,0.001271863044077115
4,9100,0.0012718627409071814
4,9300,7.16315895488151e-12
