point,step,Privacy cost
0,0,4.090471739104373e-09
0,200,1.0800920657860758e-06
0,500,6.969314014781958e-12
0,700,5.249591675116072e-05
0,900,2.2552416490517757e-05
0,1200,3.8261743098955137e-05
0,1400,5.600134162619952e-06
0,1600,1.6811761296420258e-06
0,1900,1.975932319009388e-05
0,2100,3.8471226204706e-09
0,2300,1.6588643284132232e-05
0,2600,1.4890060429095797e-07
0,2800,0.00019818688849415622
0,3000,0.00018756758969762366
0,3300,6.969314014781958e-12
0,3500,4.6778871838348834e-06
0,3700,3.7690397571621403e-05
0,4000,1.0647704939970026e-11
0,4200,1.0788441708653451e-05
0,4400,0.0006385256710685905
0,4600,2.07477576363857e-06
0,4900,4.635200037128584e-07
0,5100,6.0924674343043606e-05
0,5300,5.791205071048466e-09
0,5600,3.2248071701879155e-07
0,5800,8.661076793536893e-07
0,6000,9.098943820617933e-12
0,6300,9.524595970056282e-05
0,6500,4.8096092009064506e-05
0,6700,0.0005800584080561944
0,7000,2.055364753950073e-07
0,7200,8.518297178738976e-12
0,7400,3.206156409030214e-06
0,7700,0.001271858192195774
0,7900,0.00038788027092095945
0,8100,0.0003138675659750678
0,8400,0.0003033809112116259
0,8600,4.786401712530974e-06
0,8800,5.707277650479625e-07
0,9100,0.00017121409694387246
0,9300,0.00021376795386962577
1,0,3.720705077370212e-09
1,200,4.5138836446412256e-08
1,500,1.0190139026367007e-05
1,700,1.381041905945679e-06
1,900,9.00057529751308e-06
1,1200,6.969314014781958e-12
1,1400,2.6843145918498124e-05
1,1600,6.969314014781958e-12
1,1900,6.969314014781958e-12
1,2100,6.969314014781958e-12
1,2300,6.969314014781958e-12
1,2600,6.969314014781958e-12
1,2800,6.969314014781958e-12
1,3000,6.969314014781958e-12
1,3300,6.969314014781958e-12
1,3500,6.969314014781958e-12
1,3700,0.0008240898027416232
1,4000,9.098943820617933e-12
1,4200,9.098943820617933e-12
1,4400,9.098943820617933e-12
1,4600,4.645131312108752e-05
1,4900,9.098943820617933e-12
1,5100,9.098943820617933e-12
1,5300,9.098943820617933e-12
1,5600,9.098943820617933e-12
1,5800,9.098943820617933e-12
1,6000,9.098943820617933e-12
1,6300,9.098943820617933e-12
1,6500,9.098943820617933e-12
1,6700,9.098943820617933e-12
1,7000,9.098943820617933e-12
1,7200,7.162936910276585e-12
1,7400,7.162936910276585e-12
1,7700,7.162936910276585e-12
1,7900,7.162936910276585e-12
1,8100,7.162936910276585e-12
1,8400,7.162936910276585e-12
1,8600,8.905320925123306e-12
1,8800,1.0037312506261387e-05
1,9100,6.466072122179867e-11
1,9300,0.00013895731654711696
2,0,2.8894073800245224e-09
2,200,5.162593852414687e-07
2,500,1.246185912595621e-05
2,700,0.00016311186698181324
2,900,6.923639794820247e-08
2,1200,8.905320925123306e-12
2,1400,0.0001314152277935854
2,1600,1.6308245502916208e-06
2,1900,0.00012055178694048152
2,2100,0.0003952046909789786
2,2300,7.162936910276585e-12
2,2600,6.969314014781958e-12
2,2800,6.969314014781958e-12
2,3000,6.969314014781958e-12
2,3300,3.698155806697301e-06
2,3500,6.969314014781958e-12
2,3700,6.969314014781958e-12
2,4000,9.098943820617933e-12
2,4200,9.098943820617933e-12
2,4400,9.098943820617933e-12
2,4600,0.0005852465524016637
2,4900,9.098943820617933e-12
2,5100,2.2750446701413907e-05
2,5300,9.098943820617933e-12
2,5600,7.713769504480439e-06
2,5800,2.6522561924480215e-11
2,6000,2.2979215561713673e-05
2,6300,1.0749441774482449e-06
2,6500,1.1228573626453908e-11
2,6700,9.098943820617933e-12
2,7000,1.7973992294528784e-07
2,7200,0.0005370817114671578
2,7400,0.0004490046576230977
2,7700,7.162936910276585e-12
2,7900,8.124992492142269e-07
2,8100,0.001271860163381433
2,8400,8.279238547870271e-05
2,8600,7.162936910276585e-12
2,8800,2.774452605436295e-07
2,9100,6.236323994768256e-06
2,9300,7.162936910276585e-12
3,0,2.59765964294445e-09
3,200,7.356559805771212e-12
3,500,6.969314014781958e-12
3,700,1.9523524309672524e-05
3,900,6.969314014781958e-12
3,1200,6.969314014781958e-12
3,1400,6.969314014781958e-12
3,1600,4.983138346403848e-10
3,1900,1.8768855136741536e-08
3,2100,6.969314014781958e-12
